Fastighetsbeteckning,Adress,Kommunnamn
Majoren 1,Johan Enbergs väg 7,Solna
Bagartorp 10,Bagartorpsringen 80,Solna
Pressen 7,Vegagatan 3,Sundbyberg
Getingen 1,Törnbacken 6,Solna
Nötväckan 1,Wiboms Väg 12,Solna
Kassören 25,Vegagatan 6,Sundbyberg
Fältmarskalken 2,Johan Enbergs väg 48A,Solna
Getingen 1,Törnbacken 4,Solna
Bagartorp 13,Bagartorpsringen 86,Solna
Hundlokan 3,Majeldsvägen 10,Sundbyberg
Ljungen 3,Spelmanshöjden 20,Sundbyberg
Klippan 19,Trädgårdsgatan 30,Sundbyberg
Krögaren 1,Mäster Simons väg 5A,Solna
Fältmarskalken 1,Johan Enbergsväg 60,Solna
Majoren 1,Johan Enbergs väg 9,Solna
Bagartorp 9,Bagartorpsringen 78,Solna
Getingen 1,Törnbacken 8,Solna
Fältmarskalken 2,Johan Enbergs väg 54B,Solna
Biet 2,Törnbacken 10,Solna
Överstelöjtnanten 1,Johan Enbergs väg 11,Solna
Spiken 2,Sturegatan 45,Sundbyberg
Bagartorp 12,Bagartorpsringen 76,Solna
Hundlokan 3,Majeldsvägen 16,Sundbyberg
Överstelöjtnanten 1,Johan Enbergs väg 15,Solna
Ljungen 3,Spelmanshöjden 14,Sundbyberg
Bagartorp 8,Bagartorpsringen 70,Solna
Översten 1,Johan Enbergs väg 19,Solna
Hästhoven 2,Örsvängen 9,Sundbyberg
Bagartorp 1,Bagartorpsringen 24,Solna
Bagartorp 11,Bagartorpsringen 68,Solna
Översten 1,Johan Enbergs väg 23,Solna
Bagartorp 7,Bagartorpsringen 62,Solna
Kassören 19,Vegagatan 18,Sundbyberg
Dalen 2,Tulegatan 61B,Sundbyberg
Kassören 17,Fredsgatan 8,Sundbyberg
Bagartorp 6,Bagartorpsringen 58,Solna
Spiken 11,Järnvägsgatan 54,Sundbyberg
